case_id,source_case_id,image,case_origin,factor,level,texture_name,expected_visible_tags,tag_size_mm,spacing_mm,render_width_px,render_height_px,camera_x_m,camera_y_m,camera_z_m,target_x_m,target_y_m,target_z_m,view_angle_deg,distance_m,occlusion_fraction,postprocess,fx_px,fy_px,cx_px,cy_px,camera_rot_x_rad,camera_rot_y_rad,camera_rot_z_rad
render_000_baseline_baseline,,render_000_baseline_baseline.png,blender_render,baseline,baseline,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_001_distance_0p45m,,render_001_distance_0p45m.png,blender_render,distance,0.45m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.45,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_002_distance_0p60m,,render_002_distance_0p60m.png,blender_render,distance,0.60m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_003_distance_0p80m,,render_003_distance_0p80m.png,blender_render,distance,0.80m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_004_distance_1p00m,,render_004_distance_1p00m.png,blender_render,distance,1.00m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_005_distance_1p25m,,render_005_distance_1p25m.png,blender_render,distance,1.25m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.25,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_006_distance_1p60m,,render_006_distance_1p60m.png,blender_render,distance,1.60m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.6,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_007_distance_2p00m,,render_007_distance_2p00m.png,blender_render,distance,2.00m,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_008_viewing_angle_0deg,,render_008_viewing_angle_0deg.png,blender_render,viewing_angle,0deg,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,1.1,0.0,0.0,0.0,0.0,1.1,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_009_viewing_angle_15deg,,render_009_viewing_angle_15deg.png,blender_render,viewing_angle,15deg,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.2847009496127728,0.0,1.0625184089179753,0.0,0.0,0.0,15.0,1.1,0.0,,1050.0,1050.0,480.0,360.0,0.2617994248867035,-1.9904078385479806e-07,1.5707964897155762
render_010_viewing_angle_30deg,,render_010_viewing_angle_30deg.png,blender_render,viewing_angle,30deg,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.5499999999999999,0.0,0.9526279441628827,0.0,0.0,0.0,30.0,1.1,0.0,,1050.0,1050.0,480.0,360.0,0.5235987901687622,4.071073078648624e-08,1.5707963705062866
render_011_viewing_angle_45deg,,render_011_viewing_angle_45deg.png,blender_render,viewing_angle,45deg,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.7778174593052024,0.0,0.7778174593052024,0.0,0.0,0.0,45.0,1.1,0.0,,1050.0,1050.0,480.0,360.0,0.7853981852531433,7.787721756358224e-08,1.5707964897155762
render_012_viewing_angle_60deg,,render_012_viewing_angle_60deg.png,blender_render,viewing_angle,60deg,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.9526279441628825,0.0,0.5500000000000002,0.0,0.0,0.0,60.0,1.1,0.0,,1050.0,1050.0,480.0,360.0,1.047197699546814,-0.0,1.5707963705062866
render_013_viewing_angle_70deg,,render_013_viewing_angle_70deg.png,blender_render,viewing_angle,70deg,baseline_t60_s25_v36,36,60.0,25.0,960,720,1.0336618828644992,0.0,0.37622215765823575,0.0,0.0,0.0,70.0,1.1,0.0,,1050.0,1050.0,480.0,360.0,1.221730351448059,-4.834888045479602e-08,1.570796251296997
render_014_partial_occlusion_0pct,,render_014_partial_occlusion_0pct.png,blender_render,partial_occlusion,0pct,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_015_partial_occlusion_10pct,,render_015_partial_occlusion_10pct.png,blender_render,partial_occlusion,10pct,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.1,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_016_partial_occlusion_20pct,,render_016_partial_occlusion_20pct.png,blender_render,partial_occlusion,20pct,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.2,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_017_partial_occlusion_35pct,,render_017_partial_occlusion_35pct.png,blender_render,partial_occlusion,35pct,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.35,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_018_partial_occlusion_50pct,,render_018_partial_occlusion_50pct.png,blender_render,partial_occlusion,50pct,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.5,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_019_partial_occlusion_65pct,,render_019_partial_occlusion_65pct.png,blender_render,partial_occlusion,65pct,baseline_t60_s25_v36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.65,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_020_visible_tags_36,,render_020_visible_tags_36.png,blender_render,visible_tags,36,visible_36,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_021_visible_tags_24,,render_021_visible_tags_24.png,blender_render,visible_tags,24,visible_24,24,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_022_visible_tags_18,,render_022_visible_tags_18.png,blender_render,visible_tags,18,visible_18,18,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_023_visible_tags_12,,render_023_visible_tags_12.png,blender_render,visible_tags,12,visible_12,12,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_024_visible_tags_6,,render_024_visible_tags_6.png,blender_render,visible_tags,6,visible_06,6,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_025_visible_tags_3,,render_025_visible_tags_3.png,blender_render,visible_tags,3,visible_03,3,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_026_visible_tags_1,,render_026_visible_tags_1.png,blender_render,visible_tags,1,visible_01,1,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_027_tag_size_30mm,,render_027_tag_size_30mm.png,blender_render,tag_size,30mm,tag_size_30mm,36,30.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_028_tag_size_45mm,,render_028_tag_size_45mm.png,blender_render,tag_size,45mm,tag_size_45mm,36,45.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_029_tag_size_60mm,,render_029_tag_size_60mm.png,blender_render,tag_size,60mm,tag_size_60mm,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_030_tag_size_75mm,,render_030_tag_size_75mm.png,blender_render,tag_size,75mm,tag_size_75mm,36,75.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_031_spacing_0mm,,render_031_spacing_0mm.png,blender_render,spacing,0mm,spacing_00mm,36,60.0,0.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_032_spacing_10mm,,render_032_spacing_10mm.png,blender_render,spacing,10mm,spacing_10mm,36,60.0,10.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_033_spacing_25mm,,render_033_spacing_25mm.png,blender_render,spacing,25mm,spacing_25mm,36,60.0,25.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
render_034_spacing_40mm,,render_034_spacing_40mm.png,blender_render,spacing,40mm,spacing_40mm,36,60.0,40.0,960,720,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,0.0,,1050.0,1050.0,480.0,360.0,0.0,-0.0,0.0
