blur_kernel_px,projected_tag_side_px,detected_count,width_px,height_px,distance_over_tag_size,scale_factor,image,fully_visible_count,partially_visible_count,detected_out_of_36_rate,readability_rate_among_fully_visible,unreadable_visible_count
0,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png,36,36,0.0,0.0,36
3,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png,36,36,0.0,0.0,36
7,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png,36,36,0.0,0.0,36
11,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png,36,36,0.0,0.0,36
15,3.2812500328125003,0,100,75,33.333333,0.5,ratio_s0p5_r33p333.png,36,36,0.0,0.0,36
0,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
3,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
7,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
11,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
15,140.0,8,960,720,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
0,58.333333333333336,8,400,300,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
3,58.333333333333336,8,400,300,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
7,58.333333333333336,8,400,300,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
11,58.333333333333336,3,400,300,7.5,1.0,ratio_s1_r7p500.png,8,24,0.08333333333333333,0.375,5
15,58.333333333333336,0,400,300,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
0,43.75,8,300,225,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
3,43.75,8,300,225,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
7,43.75,6,300,225,7.5,1.0,ratio_s1_r7p500.png,8,24,0.16666666666666666,0.75,2
11,43.75,0,300,225,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
15,43.75,0,300,225,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
0,29.166666666666668,6,200,150,7.5,1.0,ratio_s1_r7p500.png,8,24,0.16666666666666666,0.75,2
3,29.166666666666668,5,200,150,7.5,1.0,ratio_s1_r7p500.png,8,24,0.1388888888888889,0.625,3
7,29.166666666666668,0,200,150,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
11,29.166666666666668,0,200,150,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
15,29.166666666666668,0,200,150,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
0,21.875,8,150,112,7.5,1.0,ratio_s1_r7p500.png,8,24,0.2222222222222222,1.0,0
3,21.875,6,150,112,7.5,1.0,ratio_s1_r7p500.png,8,24,0.16666666666666666,0.75,2
7,21.875,0,150,112,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
11,21.875,0,150,112,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
15,21.875,0,150,112,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
0,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
3,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
7,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
11,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
15,14.583333333333334,0,100,75,7.5,1.0,ratio_s1_r7p500.png,8,24,0.0,0.0,8
0,105.0,24,960,720,10.0,1.0,ratio_s1_r10p000.png,24,36,0.6666666666666666,1.0,0
3,105.0,24,960,720,10.0,1.0,ratio_s1_r10p000.png,24,36,0.6666666666666666,1.0,0
7,105.0,24,960,720,10.0,1.0,ratio_s1_r10p000.png,24,36,0.6666666666666666,1.0,0
11,105.0,24,960,720,10.0,1.0,ratio_s1_r10p000.png,24,36,0.6666666666666666,1.0,0
15,105.0,23,960,720,10.0,1.0,ratio_s1_r10p000.png,24,36,0.6388888888888888,0.9583333333333334,1
0,43.75,24,400,300,10.0,1.0,ratio_s1_r10p000.png,24,36,0.6666666666666666,1.0,0
3,43.75,24,400,300,10.0,1.0,ratio_s1_r10p000.png,24,36,0.6666666666666666,1.0,0
7,43.75,19,400,300,10.0,1.0,ratio_s1_r10p000.png,24,36,0.5277777777777778,0.7916666666666666,5
11,43.75,0,400,300,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
15,43.75,0,400,300,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
0,32.8125,24,300,225,10.0,1.0,ratio_s1_r10p000.png,24,36,0.6666666666666666,1.0,0
3,32.8125,23,300,225,10.0,1.0,ratio_s1_r10p000.png,24,36,0.6388888888888888,0.9583333333333334,1
7,32.8125,0,300,225,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
11,32.8125,0,300,225,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
15,32.8125,0,300,225,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
0,21.875,20,200,150,10.0,1.0,ratio_s1_r10p000.png,24,36,0.5555555555555556,0.8333333333333334,4
3,21.875,16,200,150,10.0,1.0,ratio_s1_r10p000.png,24,36,0.4444444444444444,0.6666666666666666,8
7,21.875,0,200,150,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
11,21.875,0,200,150,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
15,21.875,0,200,150,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
0,16.40625,1,150,112,10.0,1.0,ratio_s1_r10p000.png,24,36,0.027777777777777776,0.041666666666666664,23
3,16.40625,0,150,112,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
7,16.40625,0,150,112,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
11,16.40625,0,150,112,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
15,16.40625,0,150,112,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
0,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
3,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
7,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
11,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
15,10.9375,0,100,75,10.0,1.0,ratio_s1_r10p000.png,24,36,0.0,0.0,24
0,78.75000196875006,36,960,720,13.333333,1.0,ratio_s1_r13p333.png,36,36,1.0,1.0,0
3,78.75000196875006,36,960,720,13.333333,1.0,ratio_s1_r13p333.png,36,36,1.0,1.0,0
7,78.75000196875006,36,960,720,13.333333,1.0,ratio_s1_r13p333.png,36,36,1.0,1.0,0
11,78.75000196875006,32,960,720,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.8888888888888888,0.8888888888888888,4
15,78.75000196875006,14,960,720,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.3888888888888889,0.3888888888888889,22
0,32.81250082031252,36,400,300,13.333333,1.0,ratio_s1_r13p333.png,36,36,1.0,1.0,0
3,32.81250082031252,34,400,300,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.9444444444444444,0.9444444444444444,2
7,32.81250082031252,0,400,300,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
11,32.81250082031252,0,400,300,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
15,32.81250082031252,0,400,300,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
0,24.60937561523439,18,300,225,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.5,0.5,18
3,24.60937561523439,13,300,225,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.3611111111111111,0.3611111111111111,23
7,24.60937561523439,0,300,225,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
11,24.60937561523439,0,300,225,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
15,24.60937561523439,0,300,225,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
0,16.40625041015626,16,200,150,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.4444444444444444,0.4444444444444444,20
3,16.40625041015626,4,200,150,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.1111111111111111,0.1111111111111111,32
7,16.40625041015626,0,200,150,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
11,16.40625041015626,0,200,150,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
15,16.40625041015626,0,200,150,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
0,12.304687807617196,1,150,112,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.027777777777777776,0.027777777777777776,35
3,12.304687807617196,0,150,112,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
7,12.304687807617196,0,150,112,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
11,12.304687807617196,0,150,112,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
15,12.304687807617196,0,150,112,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
0,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
3,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
7,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
11,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
15,8.20312520507813,0,100,75,13.333333,1.0,ratio_s1_r13p333.png,36,36,0.0,0.0,36
0,70.0,36,960,720,15.0,1.0,ratio_s1_r15p000.png,36,36,1.0,1.0,0
3,70.0,36,960,720,15.0,1.0,ratio_s1_r15p000.png,36,36,1.0,1.0,0
7,70.0,36,960,720,15.0,1.0,ratio_s1_r15p000.png,36,36,1.0,1.0,0
11,70.0,32,960,720,15.0,1.0,ratio_s1_r15p000.png,36,36,0.8888888888888888,0.8888888888888888,4
15,70.0,0,960,720,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
0,29.166666666666668,26,400,300,15.0,1.0,ratio_s1_r15p000.png,36,36,0.7222222222222222,0.7222222222222222,10
3,29.166666666666668,21,400,300,15.0,1.0,ratio_s1_r15p000.png,36,36,0.5833333333333334,0.5833333333333334,15
7,29.166666666666668,0,400,300,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
11,29.166666666666668,0,400,300,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
15,29.166666666666668,0,400,300,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
0,21.875,20,300,225,15.0,1.0,ratio_s1_r15p000.png,36,36,0.5555555555555556,0.5555555555555556,16
3,21.875,11,300,225,15.0,1.0,ratio_s1_r15p000.png,36,36,0.3055555555555556,0.3055555555555556,25
7,21.875,0,300,225,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
11,21.875,0,300,225,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
15,21.875,0,300,225,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
0,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
3,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
7,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
11,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
15,14.583333333333334,0,200,150,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
0,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
3,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
7,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
11,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
15,10.9375,0,150,112,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
0,7.291666666666667,0,100,75,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
3,7.291666666666667,0,100,75,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
7,7.291666666666667,0,100,75,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
11,7.291666666666667,0,100,75,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
15,7.291666666666667,0,100,75,15.0,1.0,ratio_s1_r15p000.png,36,36,0.0,0.0,36
0,62.999998740000024,36,960,720,16.666667,1.0,ratio_s1_r16p667.png,36,36,1.0,1.0,0
3,62.999998740000024,36,960,720,16.666667,1.0,ratio_s1_r16p667.png,36,36,1.0,1.0,0
7,62.999998740000024,34,960,720,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.9444444444444444,0.9444444444444444,2
11,62.999998740000024,19,960,720,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.5277777777777778,0.5277777777777778,17
15,62.999998740000024,0,960,720,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
0,26.24999947500001,25,400,300,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.6944444444444444,0.6944444444444444,11
3,26.24999947500001,16,400,300,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.4444444444444444,0.4444444444444444,20
7,26.24999947500001,0,400,300,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
11,26.24999947500001,0,400,300,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
15,26.24999947500001,0,400,300,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
0,19.687499606250007,3,300,225,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.08333333333333333,0.08333333333333333,33
3,19.687499606250007,3,300,225,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.08333333333333333,0.08333333333333333,33
7,19.687499606250007,0,300,225,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
11,19.687499606250007,0,300,225,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
15,19.687499606250007,0,300,225,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
0,13.124999737500005,0,200,150,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
3,13.124999737500005,0,200,150,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
7,13.124999737500005,0,200,150,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
11,13.124999737500005,0,200,150,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
15,13.124999737500005,0,200,150,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
0,9.843749803125004,0,150,112,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
3,9.843749803125004,0,150,112,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
7,9.843749803125004,0,150,112,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
11,9.843749803125004,0,150,112,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
15,9.843749803125004,0,150,112,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
0,6.5624998687500025,0,100,75,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
3,6.5624998687500025,0,100,75,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
7,6.5624998687500025,0,100,75,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
11,6.5624998687500025,0,100,75,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
15,6.5624998687500025,0,100,75,16.666667,1.0,ratio_s1_r16p667.png,36,36,0.0,0.0,36
0,50.400000806400016,36,960,720,20.833333,1.0,ratio_s1_r20p833.png,36,36,1.0,1.0,0
3,50.400000806400016,36,960,720,20.833333,1.0,ratio_s1_r20p833.png,36,36,1.0,1.0,0
7,50.400000806400016,28,960,720,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.7777777777777778,0.7777777777777778,8
11,50.400000806400016,0,960,720,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
15,50.400000806400016,0,960,720,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
0,21.000000336000006,14,400,300,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.3888888888888889,0.3888888888888889,22
3,21.000000336000006,5,400,300,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.1388888888888889,0.1388888888888889,31
7,21.000000336000006,0,400,300,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
11,21.000000336000006,0,400,300,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
15,21.000000336000006,0,400,300,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
0,15.750000252000005,9,300,225,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.25,0.25,27
3,15.750000252000005,0,300,225,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
7,15.750000252000005,0,300,225,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
11,15.750000252000005,0,300,225,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
15,15.750000252000005,0,300,225,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
0,10.500000168000003,0,200,150,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
3,10.500000168000003,0,200,150,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
7,10.500000168000003,0,200,150,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
11,10.500000168000003,0,200,150,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
15,10.500000168000003,0,200,150,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
0,7.875000126000002,0,150,112,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
3,7.875000126000002,0,150,112,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
7,7.875000126000002,0,150,112,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
11,7.875000126000002,0,150,112,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
15,7.875000126000002,0,150,112,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
0,5.250000084000002,0,100,75,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
3,5.250000084000002,0,100,75,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
7,5.250000084000002,0,100,75,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
11,5.250000084000002,0,100,75,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
15,5.250000084000002,0,100,75,20.833333,1.0,ratio_s1_r20p833.png,36,36,0.0,0.0,36
0,39.374999507812504,36,960,720,26.666667,1.0,ratio_s1_r26p667.png,36,36,1.0,1.0,0
3,39.374999507812504,36,960,720,26.666667,1.0,ratio_s1_r26p667.png,36,36,1.0,1.0,0
7,39.374999507812504,10,960,720,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.2777777777777778,0.2777777777777778,26
11,39.374999507812504,0,960,720,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
15,39.374999507812504,0,960,720,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
0,16.406249794921877,9,400,300,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.25,0.25,27
3,16.406249794921877,1,400,300,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.027777777777777776,0.027777777777777776,35
7,16.406249794921877,0,400,300,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
11,16.406249794921877,0,400,300,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
15,16.406249794921877,0,400,300,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
0,12.304687346191407,0,300,225,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
3,12.304687346191407,0,300,225,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
7,12.304687346191407,0,300,225,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
11,12.304687346191407,0,300,225,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
15,12.304687346191407,0,300,225,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
0,8.203124897460938,0,200,150,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
3,8.203124897460938,0,200,150,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
7,8.203124897460938,0,200,150,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
11,8.203124897460938,0,200,150,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
15,8.203124897460938,0,200,150,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
0,6.152343673095704,0,150,112,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
3,6.152343673095704,0,150,112,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
7,6.152343673095704,0,150,112,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
11,6.152343673095704,0,150,112,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
15,6.152343673095704,0,150,112,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
0,4.101562448730469,0,100,75,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
3,4.101562448730469,0,100,75,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
7,4.101562448730469,0,100,75,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
11,4.101562448730469,0,100,75,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
15,4.101562448730469,0,100,75,26.666667,1.0,ratio_s1_r26p667.png,36,36,0.0,0.0,36
0,31.500000315,24,960,720,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.6666666666666666,0.6666666666666666,12
3,31.500000315,25,960,720,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.6944444444444444,0.6944444444444444,11
7,31.500000315,0,960,720,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
11,31.500000315,0,960,720,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
15,31.500000315,0,960,720,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
0,13.125000131250001,0,400,300,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
3,13.125000131250001,0,400,300,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
7,13.125000131250001,0,400,300,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
11,13.125000131250001,0,400,300,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
15,13.125000131250001,0,400,300,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
0,9.8437500984375,0,300,225,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
3,9.8437500984375,0,300,225,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
7,9.8437500984375,0,300,225,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
11,9.8437500984375,0,300,225,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
15,9.8437500984375,0,300,225,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
0,6.5625000656250005,0,200,150,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
3,6.5625000656250005,0,200,150,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
7,6.5625000656250005,0,200,150,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
11,6.5625000656250005,0,200,150,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
15,6.5625000656250005,0,200,150,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
0,4.92187504921875,0,150,112,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
3,4.92187504921875,0,150,112,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
7,4.92187504921875,0,150,112,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
11,4.92187504921875,0,150,112,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
15,4.92187504921875,0,150,112,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
0,3.2812500328125003,0,100,75,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
3,3.2812500328125003,0,100,75,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
7,3.2812500328125003,0,100,75,33.333333,1.0,ratio_s1_r33p333.png,36,36,0.0,0.0,36
