frame,camera_x_m,camera_y_m,camera_z_m,target_x_m,target_y_m,target_z_m,label,image,camera_rot_x_rad,camera_rot_y_rad,camera_rot_z_rad,fx_px,fy_px,cx_px,cy_px
0,-0.22,-0.18,0.85,0.0,0.0,0.0,sweep,aprilgrid_render_000.png,0.3227244019508362,7.08628107304321e-08,-0.8850669860839844,1050.0,1050.0,480.0,360.0
1,-0.1,-0.1,0.75,0.0,0.0,0.0,sweep,aprilgrid_render_001.png,0.18637338280677795,1.3953152233625588e-07,-0.7853982448577881,1050.0,1050.0,480.0,360.0
2,0.0,-0.05,0.7,0.0,0.0,0.0,sweep,aprilgrid_render_002.png,0.07130751013755798,-0.0,0.0,1050.0,1050.0,480.0,360.0
3,0.12,-0.04,0.78,0.0,0.0,0.0,sweep,aprilgrid_render_003.png,0.16076847910881042,-1.9988095800727024e-07,1.2490458488464355,1050.0,1050.0,480.0,360.0
4,0.24,-0.12,0.9,0.0,0.0,0.0,sweep,aprilgrid_render_004.png,0.28975170850753784,3.467999931672239e-08,1.1071487665176392,1050.0,1050.0,480.0,360.0
5,0.18,0.1,0.82,0.0,0.0,0.0,sweep,aprilgrid_render_005.png,0.2460259050130844,2.2631123641758677e-08,2.077895164489746,1050.0,1050.0,480.0,360.0
6,0.04,0.18,0.76,0.0,0.0,0.0,sweep,aprilgrid_render_006.png,0.23802058398723602,-3.5304509538036655e-08,2.9229238033294678,1050.0,1050.0,480.0,360.0
7,-0.16,0.16,0.88,0.0,0.0,0.0,sweep,aprilgrid_render_007.png,0.2516777217388153,8.71511147693127e-08,-2.356194496154785,1050.0,1050.0,480.0,360.0
8,-0.28,0.02,1.0,0.0,0.0,0.0,sweep,aprilgrid_render_008.png,0.27367013692855835,2.432803967167274e-07,-1.642103910446167,1050.0,1050.0,480.0,360.0
9,0.0,0.0,1.15,0.0,0.0,0.0,sweep,aprilgrid_render_009.png,0.0,-0.0,0.0,1050.0,1050.0,480.0,360.0
10,-0.2849935468663998,-0.116984754448058,1.0228388830284667,-0.04428628189618836,0.03783539426624198,0.0,seeded_random,aprilgrid_render_010.png,0.2728302776813507,-1.452882401054012e-07,-0.9992244839668274,1050.0,1050.0,480.0,360.0
11,0.2353077406229072,-0.21479180703270362,1.0463206770764342,-0.012492508850356729,-0.07523244488990874,0.0,seeded_random,aprilgrid_render_011.png,0.26539531350135803,8.763417014279185e-08,1.0578806400299072,1050.0,1050.0,480.0,360.0
12,0.003213172862017444,-0.24620129576439093,0.7577419241262702,-0.04818597589013624,0.02398151004472371,0.0,seeded_random,aprilgrid_render_012.png,0.3481717109680176,1.2662413340081002e-08,0.18799208104610443,1050.0,1050.0,480.0,360.0
13,-0.167735626775582,0.04641815561547252,0.9633131327800265,0.04950887306845227,-0.07896019845151024,0.0,seeded_random,aprilgrid_render_013.png,0.25472491979599,3.025093064934481e-09,-2.0942299365997314,1050.0,1050.0,480.0,360.0
14,0.11888363699293614,-0.08306973141064422,1.127666128654669,-0.05512328003011495,0.07315409155308499,0.0,seeded_random,aprilgrid_render_014.png,0.20447421073913574,5.26930996613828e-08,0.8391968011856079,1050.0,1050.0,480.0,360.0
15,-0.24435249397191125,-0.20970748404659872,0.8320545634209549,0.055599098615593576,0.016596165018702577,0.0,seeded_random,aprilgrid_render_015.png,0.4241727888584137,2.469160165219364e-08,-0.9244423508644104,1050.0,1050.0,480.0,360.0
16,0.13783907201629075,0.018838607556444398,1.1284908121628594,0.0756985222366993,-0.019434499646663446,0.0,seeded_random,aprilgrid_render_016.png,0.0645812451839447,7.544235813838895e-07,2.122833728790283,1050.0,1050.0,480.0,360.0
17,0.1976427985517969,0.06163027122940795,0.967785597702133,0.05787310404972436,0.01237634324108193,0.0,seeded_random,aprilgrid_render_017.png,0.1519467532634735,1.9904925352420832e-07,1.9096019268035889,1050.0,1050.0,480.0,360.0
18,-0.27250536980660267,-0.14149289666119563,1.0638802568154018,-0.03369792582366286,-0.0672332836922196,0.0,seeded_random,aprilgrid_render_018.png,0.23087894916534424,-1.7648417838245223e-07,-1.2693150043487549,1050.0,1050.0,480.0,360.0
19,-0.23939914235416251,-0.11545372638275211,0.7666582584074491,0.021709511082304025,-0.021626851364786523,0.0,seeded_random,aprilgrid_render_019.png,0.34723803400993347,-5.4242249802882725e-08,-1.2258248329162598,1050.0,1050.0,480.0,360.0
20,-0.17429578153710737,-0.12117153253446106,0.853214009283636,0.06986473403399905,0.023685661639454972,0.0,seeded_random,aprilgrid_render_020.png,0.3212159276008606,-6.007890362980106e-08,-1.0353277921676636,1050.0,1050.0,480.0,360.0
21,-0.1973168110811418,0.11914593493418157,1.0037525335702027,-0.05385560099809146,-0.019287129318776353,0.0,seeded_random,aprilgrid_render_021.png,0.19606426358222961,4.7054744101160395e-08,-2.3383593559265137,1050.0,1050.0,480.0,360.0
22,0.08399985591245573,0.02961386676281602,1.243399710901055,0.029538280158379934,0.054856307230369536,0.0,seeded_random,aprilgrid_render_022.png,0.04823930561542511,4.7637848865633714e-07,1.1367802619934082,1050.0,1050.0,480.0,360.0
23,-0.16257115682153736,-0.24330787316990038,1.1088799442741342,-0.029527512310546893,-0.037161459843887565,0.0,seeded_random,aprilgrid_render_023.png,0.21775184571743011,-6.536515684274491e-08,-0.5731235146522522,1050.0,1050.0,480.0,360.0
24,0.26574582860103263,0.1957111657657878,0.7529191914593857,-0.029651539072243535,0.02487018644718081,0.0,seeded_random,aprilgrid_render_024.png,0.42553308606147766,4.8860158585739555e-08,2.095139265060425,1050.0,1050.0,480.0,360.0
25,0.24872855384432607,-0.021397036654552615,0.8692480976682184,-0.037619173360311606,-0.04053959876896265,0.0,seeded_random,aprilgrid_render_025.png,0.3188875913619995,1.0032722741470934e-07,1.6375477313995361,1050.0,1050.0,480.0,360.0
26,-0.14235503488623882,0.04398471491624106,0.973661924522785,0.06365166137639632,-0.016095919177536444,0.0,seeded_random,aprilgrid_render_026.png,0.21692588925361633,1.7774749494492426e-07,-1.854569435119629,1050.0,1050.0,480.0,360.0
27,0.29852256389706616,0.004953672711761559,0.7581720782690885,-0.06545449405219297,-0.07246137993204246,0.0,seeded_random,aprilgrid_render_027.png,0.45626896619796753,-7.624370113035184e-08,1.7803657054901123,1050.0,1050.0,480.0,360.0
28,0.076467625021854,0.15188126946874136,0.6890789521209153,-0.012454405312050554,-0.06983556701568686,0.0,seeded_random,aprilgrid_render_028.png,0.333706259727478,6.515813222307543e-09,2.76017165184021,1050.0,1050.0,480.0,360.0
29,0.2976728281440581,0.015139459451551263,0.8604201504991181,0.07537254041817891,0.057724752357519685,0.0,seeded_random,aprilgrid_render_029.png,0.25723251700401306,-8.767541004317536e-08,1.3815228939056396,1050.0,1050.0,480.0,360.0
